,precision,recall,f1-score,support
0,0.9838709677419355,0.9606299212598425,0.9721115537848605,127.0
1,0.9642857142857143,0.9854014598540146,0.9747292418772563,137.0
accuracy,0.9734848484848485,0.9734848484848485,0.9734848484848485,0.9734848484848485
macro avg,0.974078341013825,0.9730156905569285,0.9734203978310584,264.0
weighted avg,0.9737074081832147,0.9734848484848485,0.9734699752570507,264.0
