,precision,recall,f1-score,support
0,0.9765625,0.984251968503937,0.9803921568627452,127.0
1,0.9852941176470589,0.9781021897810219,0.9816849816849818,137.0
accuracy,0.9810606060606061,0.9810606060606061,0.9810606060606061,0.9810606060606061
macro avg,0.9809283088235294,0.9811770791424794,0.9810385692738635,264.0
weighted avg,0.9810936803698753,0.9810606060606061,0.9810630545924663,264.0
